#1
# M350-50A
# vRef = 3.50
# Bref = 1.5
# fRef = 50
# dens = 7650
double JH(33, 2)
0.000000000	00.00000000
0.016063598	10.01869364
0.042334439	20.02147918
0.083336853	30.00040257
0.161095781	39.97023562
0.285307307	50.29686461
0.430684552	60.22806371
0.583550094	69.89905175
0.733390883	80.08023526
0.851839840	90.11938217
0.940651542	100.0278554
1.083980905	125.1626522
1.166577615	150.2292714
1.220530992	175.8072224
1.257160163	200.5329538
1.305674972	249.9616907
1.359145332	348.9782455
1.401936002	501.9232567
1.441438916	752.3962792
1.467080286	998.8013734
1.487174474	1249.013049
1.503876733	1496.838509
1.531509398	1994.875644
1.555273080	2507.343698
1.640974712	4984.234749
1.706001151	7487.033276
1.758644640	9957.333829
1.840544035	14833.16624
1.902383051	19982.84523
1.936558710	24032.59277
1.961084236	28223.24063
1.973868234	31593.48508
1.977324612	32904.76698
